stop_id, stop_name, stop_desc, stop_lat, stop_lon, zone_id, stop_url
91ST-BEV, 91st St. - Beverly Hills Metra, , 41.7280556, -87.6672222, C, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/ri/station.91ST-BEV.html
PRAIRIEST, Prairie St. Metra, , 41.6625000, -87.6750000, D, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/ri/station.PRAIRIEST.html
123RD-BEV, 123rd St. Metra, , 41.6700000, -87.6736111, D, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/ri/station.123RD-BEV.html
119TH-BEV, 119th St. Metra, , 41.6763889, -87.6725000, C, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/ri/station.119TH-BEV.html
115TH-BEV, 115th St. - Morgan Park Metra, , 41.6850000, -87.6716667, C, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/ri/station.115TH-BEV.html
111TH-BEV, 111th St. - Morgan Park Metra, , 41.6927778, -87.6705556, C, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/ri/station.111TH-BEV.html
107TH-BEV, 107th St. - Beverly Hills Metra, , 41.6988889, -87.6700000, C, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/ri/station.1O7TH-BEV.html
103RD-BEV, 103rd St. - Beverly Hills Metra, , 41.7061111, -87.6688889, C, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/ri/station.103RD-BEV.html
99TH-BEV, 99th St. - Beverly Hills Metra, , 41.7136111, -87.6675000, C, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/ri/station.99TH-BEV.html
95TH-BEV, 95th St. - Beverly Hills Metra, , 41.7213889, -87.6672222, C, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/ri/station.95TH-BEV.html
BLUEISLAND, Blue Island Metra, , 41.6561111, -87.6758333, D, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/me/station.BLUEISLAND.html
BURROAK, Burr Oak Metra, , 41.6622222, -87.6688889, D, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/me/station.BURROAK.html
ASHLAND, Ashland Metra, , 41.6694444, -87.6605556, D, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/me/station.ASHLAND.html
RACINE, Racine Metra, , 41.6741667, -87.6519444, D, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/me/station.RACINE.html
WPULLMAN, West Pullman Metra, , 41.6741667, -87.6422222, D, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/me/station.WPULLMAN.html
STEWARTRID, Stewart Ridge Metra, , 41.6744444, -87.6316667, D, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/me/station.STEWARTRID.html
STATEST, State St. Metra, , 41.6744444, -87.6219444, D, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/me/station.STATEST.html
SCHILLERPK, Schiller Park Metra, , 41.9627778, -87.8705556, C, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/ncs/station.SCHILLERPK.html
PALOSHTS, Palos Heights Metra, , 41.6819444, -87.8069444, D, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/sws/station.PALOSHTS.html
PINGREE, Pingree Road Metra, , 42.2341667, -88.2980556, I, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/up-nw/station.PINGREE.html
CUS, Chicago Union Station Metra, , 41.8788889, -87.6388889, A, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map.html
OTC, Chicago OTC Metra, , 41.8822222, -87.6405556, A, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map.html
LARAWAY, Laraway Road Metra, , 41.4847222, -87.9597222, H, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/sws/station.LARAWAY.html
MANHATTAN, Manhattan Metra, , 41.4183333, -87.9891667, I, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/sws/station.MANHATTAN.html
GRAYSLAKE., Washington St (Grayslake) Metra, , 42.3591667, -88.0505556, I, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/ncs/station.GRAYSLK-WASH.html
ROSEMONT, Rosemont Metra, , 41.9761111, -87.8738889, D, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/ncs/station.ROSEMONT.html
FRANKLINPK, Franklin Pk Metra, , 41.9377778, -87.8600000, C, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/ncs/station.FRANKLINPK.html
LAFOX, La Fox Metra, , 41.8866667, -88.4122222, I, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/up-w/station.LAFOX.html
ELBURN, Elburn Metra, , 41.8905556, -88.4638889, I, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/up-w/station.ELBURN.html
35TH, "35th St. / ""Lou"" Jones Metra", , 41.8313889, -87.6291667, I, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/ri/station.35TH.html
